nom_standard,densite
Luisetaines,45.0
Lumigny-Nesles-Ormeaux,41.0
Luzancy,161.0
Machault,48.0
La Madeleine-sur-Loing,57.0
Magny-le-Hongre,1953.0
Maincy,178.0
Maisoncelles-en-Brie,70.0
Maisoncelles-en-Gâtinais,16.0
Maison-Rouge,62.0
Marchémoret,85.0
Marcilly,66.0
Les Marêts,29.0
Mareuil-lès-Meaux,460.0
Marles-en-Brie,144.0
Marolles-en-Brie,45.0
Marolles-sur-Seine,90.0
Mary-sur-Marne,495.0
Mauperthuis,244.0
Mauregard,41.0
May-en-Multien,47.0
Meaux,3652.0
Le Mée-sur-Seine,3641.0
Meigneux,30.0
Meilleray,64.0
Melun,5296.0
Melz-sur-Seine,19.0
Méry-sur-Marne,122.0
Le Mesnil-Amelot,103.0
Messy,118.0
Misy-sur-Yonne,138.0
Mitry-Mory,689.0
Moisenay,158.0
Moissy-Cramayel,1281.0
Mondreville,16.0
Mons-en-Montois,71.0
Montceaux-lès-Meaux,134.0
Montceaux-lès-Provins,21.0
Montcourt-Fromonville,238.0
Montdauphin,24.0
Montenils,5.0
Montereau-Fault-Yonne,2460.0
Montereau-sur-le-Jard,43.0
Montévrain,2543.0
Montgé-en-Goële,63.0
Monthyon,144.0
Montigny-le-Guesdier,38.0
Montigny-Lencoup,67.0
Montigny-sur-Loing,286.0
Montmachoux,55.0
Montolivet,15.0
Montry,1342.0
Moret-Loing-et-Orvanne,2531.0
Mormant,316.0
Mortcerf,80.0
Mortery,11.0
Mouroux,355.0
Mousseaux-lès-Bray,76.0
Moussy-le-Neuf,220.0
Moussy-le-Vieux,205.0
Mouy-sur-Seine,42.0
Nandy,734.0
Nangis,368.0
Nanteau-sur-Essonne,32.0
Nanteau-sur-Lunain,52.0
Nanteuil-lès-Meaux,892.0
Nanteuil-sur-Marne,333.0
Nantouillet,57.0
Nemours,1308.0
Chauconin-Neufmontiers,211.0
Neufmoutiers-en-Brie,75.0
Noisiel,3596.0
Noisy-Rudignon,143.0
Noisy-sur-École,61.0
Nonville,52.0
Noyen-sur-Seine,31.0
Obsonville,16.0
Ocquerre,37.0
Oissery,163.0
Orly-sur-Morin,112.0
Les Ormes-sur-Voulzie,70.0
Ormesson,63.0
Othis,517.0
Ozoir-la-Ferrière,1321.0
Ozouer-le-Voulgis,174.0
Paley,50.0
Pamfou,91.0
Paroy,41.0
Passy-sur-Seine,10.0
Pécy,40.0
Penchard,313.0
Perthes,167.0
Pézarches,44.0
Pierre-Levée,36.0
Le Pin,230.0
Le Plessis-aux-Bois,76.0
Le Plessis-Feu-Aussoux,110.0
Le Plessis-l'Évêque,82.0
Le Plessis-Placy,35.0
Poigny,84.0
Poincy,123.0
Poligny,29.0
Pommeuse,234.0
Pomponne,570.0
Pontault-Combault,2815.0
Pontcarré,225.0
Précy-sur-Marne,162.0
Presles-en-Brie,133.0
Pringy,864.0
Provins,812.0
Puisieux,34.0
Quiers,56.0
Quincy-Voisins,527.0
Rampillon,36.0
Réau,148.0
Rebais,207.0
Recloses,66.0
Remauville,43.0
Reuil-en-Brie,138.0
La Rochette,660.0
Roissy-en-Brie,1683.0
Rouilly,63.0
Rouvres,242.0
Rozay-en-Brie,892.0
Rubelles,837.0
Rumont,18.0
Rupéreux,16.0
Saâcy-sur-Marne,137.0
Sablonnières,53.0
Saint-Augustin,177.0
Sainte-Aulde,79.0
Saint-Barthélemy,23.0
Saint-Brice,70.0
Sainte-Colombe,221.0
Saint-Cyr-sur-Morin,102.0
Saint-Denis-lès-Rebais,67.0
Saint-Fargeau-Ponthierry,875.0
Saint-Fiacre,164.0
Saint-Germain-Laval,320.0
Saint-Germain-Laxis,103.0
Saint-Germain-sous-Doue,55.0
Saint-Germain-sur-École,150.0
Saint-Germain-sur-Morin,812.0
Saint-Hilliers,25.0
Saint-Jean-les-Deux-Jumeaux,96.0
Saint-Just-en-Brie,34.0
Saint-Léger,25.0
Saint-Loup-de-Naud,79.0
Saint-Mammès,1481.0
Saint-Mard,616.0
Saint-Mars-Vieux-Maisons,13.0
Saint-Martin-des-Champs,63.0
Saint-Martin-du-Boschet,16.0
Saint-Martin-en-Bière,93.0
Saint-Méry,33.0
Saint-Mesmes,80.0
Saint-Ouen-en-Brie,146.0
Saint-Ouen-sur-Morin,141.0
Saint-Pathus,1188.0
Saint-Pierre-lès-Nemours,250.0
Saint-Rémy-de-la-Vanne,65.0
Beautheil-Saints,102.0
Saint-Sauveur-lès-Bray,56.0
Saint-Sauveur-sur-École,150.0
Saint-Siméon,70.0
Saint-Soupplets,261.0
Saint-Thibault-des-Vignes,1368.0
Salins,111.0
Sammeron,185.0
Samois-sur-Seine,318.0
Samoreau,431.0
Sancy,72.0
Sancy-lès-Provins,18.0
Savigny-le-Temple,2526.0
Savins,90.0
Seine-Port,213.0
Sept-Sorts,185.0
Serris,1706.0
Servon,460.0
Signy-Signets,45.0
Sigy,14.0
Sivry-Courtry,50.0
Sognolles-en-Montois,35.0
Soignolles-en-Brie,188.0
Soisy-Bouy,71.0
Solers,197.0
Souppes-sur-Loing,186.0
Sourdun,65.0
Tancrou,27.0
Thénisy,56.0
Thieux,75.0
Thomery,910.0
Thorigny-sur-Marne,2024.0
Thoury-Férottes,39.0
Tigeaux,61.0
La Tombe,25.0
Torcy,3655.0
Touquin,104.0
Tournan-en-Brie,538.0
Tousson,26.0
La Trétoire,51.0
Treuzy-Levelay,30.0
Trilbardou,85.0
Trilport,465.0
Trocy-en-Multien,30.0
Ury,104.0
Ussy-sur-Marne,78.0
