nom_standard,densite
Fresnes,8107.0
Gentilly,16280.0
L'Haÿ-les-Roses,8049.0
Ivry-sur-Seine,10458.0
Joinville-le-Pont,8993.0
Le Kremlin-Bicêtre,15729.0
Limeil-Brévannes,4017.0
Maisons-Alfort,10834.0
Mandres-les-Roses,1432.0
Marolles-en-Brie,1026.0
Nogent-sur-Marne,11997.0
Noiseau,1007.0
Orly,3670.0
Ormesson-sur-Marne,3064.0
Périgny,987.0
Le Perreux-sur-Marne,8640.0
Le Plessis-Trévise,4648.0
La Queue-en-Brie,1291.0
Rungis,1348.0
Saint-Mandé,23550.0
Saint-Maur-des-Fossés,6718.0
Saint-Maurice,10212.0
Santeny,400.0
Sucy-en-Brie,2653.0
Thiais,4829.0
Valenton,2727.0
Villecresnes,2064.0
Villejuif,10938.0
Villeneuve-le-Roi,2492.0
Villeneuve-Saint-Georges,4414.0
Villiers-sur-Marne,7099.0
Vincennes,25549.0
Vitry-sur-Seine,8258.0
Ableiges,140.0
Aincourt,87.0
Ambleville,49.0
Amenucourt,24.0
Andilly,981.0
Argenteuil,6169.0
Arnouville,5082.0
Arronville,39.0
Arthies,36.0
Asnières-sur-Oise,218.0
Attainville,244.0
Auvers-sur-Oise,528.0
Avernes,69.0
Baillet-en-France,235.0
Banthelu,18.0
Beauchamp,3003.0
Beaumont-sur-Oise,1716.0
Le Bellay-en-Vexin,42.0
Bellefontaine,62.0
Belloy-en-France,234.0
Bernes-sur-Oise,492.0
Berville,43.0
Bessancourt,1283.0
Béthemont-la-Forêt,112.0
Bezons,7660.0
Boisemont,432.0
Boissy-l'Aillerie,354.0
Bonneuil-en-France,245.0
Bouffémont,1441.0
Bouqueval,108.0
Bray-et-Lû,256.0
Bréançon,39.0
Brignancourt,72.0
Bruyères-sur-Oise,489.0
Buhy,46.0
Butry-sur-Oise,811.0
Cergy,4704.0
Champagne-sur-Oise,534.0
La Chapelle-en-Vexin,86.0
Charmont,10.0
Chars,120.0
Châtenay-en-France,25.0
Chaumontel,795.0
Chaussy,42.0
Chauvry,59.0
Chennevières-lès-Louvres,67.0
Chérence,14.0
Cléry-en-Vexin,90.0
Commeny,105.0
Condécourt,79.0
Cormeilles-en-Parisis,3150.0
Cormeilles-en-Vexin,135.0
Courcelles-sur-Viosne,83.0
Courdimanche,1209.0
Deuil-la-Barre,6035.0
Domont,1889.0
Eaubonne,5793.0
Écouen,936.0
Enghien-les-Bains,6500.0
Ennery,322.0
Épiais-lès-Louvres,37.0
Épiais-Rhus,58.0
Épinay-Champlâtreux,17.0
Éragny,3955.0
Ermont,6918.0
Ézanville,1855.0
Fontenay-en-Parisis,196.0
Fosses,2743.0
Franconville,6022.0
Frémainville,91.0
Frémécourt,126.0
Frépillon,975.0
La Frette-sur-Seine,2288.0
Frouville,47.0
Garges-lès-Gonesse,7875.0
Genainville,50.0
Génicourt,80.0
Gonesse,1280.0
Goussainville,2678.0
Grisy-les-Plâtres,98.0
Groslay,2724.0
Guiry-en-Vexin,23.0
Haravilliers,52.0
Haute-Isle,115.0
Le Heaulme,105.0
Hédouville,52.0
Herblay-sur-Seine,2504.0
Hérouville-en-Vexin,68.0
Hodent,50.0
L'Isle-Adam,753.0
Jagny-sous-Bois,64.0
Jouy-le-Moutier,2350.0
Labbeville,80.0
Lassy,96.0
Livilliers,59.0
Longuesse,61.0
Louvres,1065.0
Luzarches,237.0
Maffliers,264.0
Magny-en-Vexin,400.0
Mareil-en-France,103.0
Margency,4022.0
Marines,412.0
Marly-la-Ville,653.0
Maudétour-en-Vexin,30.0
Menouville,23.0
Menucourt,1651.0
Mériel,976.0
Méry-sur-Oise,1015.0
Le Mesnil-Aubry,133.0
Moisselles,842.0
Montgeroult,67.0
Montigny-lès-Cormeilles,5595.0
Montlignon,1030.0
Montmagny,5095.0
Montmorency,4206.0
Montreuil-sur-Epte,53.0
Montsoult,1062.0
Mours,667.0
Moussy,24.0
Nerville-la-Forêt,115.0
Nesles-la-Vallée,133.0
Neuilly-en-Vexin,80.0
Neuville-sur-Oise,486.0
Nointel,271.0
Noisy-sur-Oise,162.0
Nucourt,91.0
Omerville,26.0
Osny,1407.0
Parmain,634.0
Le Perchay,95.0
Persan,2686.0
Pierrelaye,1116.0
Piscop,171.0
Le Plessis-Bouchard,3216.0
Le Plessis-Gassot,22.0
Le Plessis-Luzarches,142.0
Pontoise,4321.0
Presles,390.0
Puiseux-en-France,725.0
Puiseux-Pontoise,150.0
La Roche-Guyon,96.0
Roissy-en-France,193.0
Ronquerolles,185.0
Sagy,105.0
Saint-Brice-sous-Forêt,2539.0
Saint-Clair-sur-Epte,80.0
Saint-Cyr-en-Arthies,61.0
Saint-Gervais,66.0
Saint-Gratien,7643.0
Saint-Leu-la-Forêt,3049.0
Saint-Martin-du-Tertre,227.0
Saint-Ouen-l'Aumône,1786.0
Saint-Prix,931.0
Saint-Witz,317.0
Sannois,5588.0
Santeuil,123.0
Sarcelles,6964.0
Seraincourt,115.0
Seugy,611.0
Soisy-sous-Montmorency,4571.0
Survilliers,772.0
Taverny,2596.0
Théméricourt,39.0
Theuville,11.0
Le Thillay,1159.0
Us,122.0
Vallangoujard,81.0
Valmondois,266.0
Vaudherland,1111.0
Vauréal,4276.0
Vémars,345.0
Vétheuil,200.0
Viarmes,652.0
Vienne-en-Arthies,97.0
Vigny,164.0
Villaines-sous-Bois,408.0
Villeron,274.0
Villers-en-Arthies,58.0
Villiers-Adam,86.0
Villiers-le-Bel,3956.0
Villiers-le-Sec,61.0
Wy-dit-Joli-Village,39.0
